"","npoints"
"/media/rsamuel/Storage/geoData/Rasters/yieldData/csv files/Gibbons Bill_Visser 2015.csv",31788
"/media/rsamuel/Storage/geoData/Rasters/yieldData/csv files/Gibbons Bill_Visser 2016.csv",36055
"/media/rsamuel/Storage/geoData/Rasters/yieldData/csv files/Gibbons Bill_Visser 2017.csv",49185
"/media/rsamuel/Storage/geoData/Rasters/yieldData/csv files/Gibbons Bill_Visser 2018.csv",103278
"/media/rsamuel/Storage/geoData/Rasters/yieldData/csv files/Gibbons Brads 2014.csv",36897
"/media/rsamuel/Storage/geoData/Rasters/yieldData/csv files/Gibbons Brads 2015.csv",35049
"/media/rsamuel/Storage/geoData/Rasters/yieldData/csv files/Gibbons Brads 2016.csv",50257
"/media/rsamuel/Storage/geoData/Rasters/yieldData/csv files/Gibbons Brads 2017.csv",17920
"/media/rsamuel/Storage/geoData/Rasters/yieldData/csv files/Gibbons Brads 2018.csv",106597
"/media/rsamuel/Storage/geoData/Rasters/yieldData/csv files/Gibbons Buffalo_Farm 2015.csv",31154
"/media/rsamuel/Storage/geoData/Rasters/yieldData/csv files/Gibbons Buffalo_Farm 2016.csv",37888
"/media/rsamuel/Storage/geoData/Rasters/yieldData/csv files/Gibbons Cheknita 2014.csv",6031
"/media/rsamuel/Storage/geoData/Rasters/yieldData/csv files/Gibbons Cheknita 2015.csv",9004
"/media/rsamuel/Storage/geoData/Rasters/yieldData/csv files/Gibbons Cheknita 2016.csv",8342
"/media/rsamuel/Storage/geoData/Rasters/yieldData/csv files/Gibbons Cheknita 2017.csv",16791
"/media/rsamuel/Storage/geoData/Rasters/yieldData/csv files/Gibbons Cheknita 2018.csv",26272
"/media/rsamuel/Storage/geoData/Rasters/yieldData/csv files/Gibbons Cheknita 2019.csv",39689
"/media/rsamuel/Storage/geoData/Rasters/yieldData/csv files/Gibbons Colin_Centre 2015.csv",38327
"/media/rsamuel/Storage/geoData/Rasters/yieldData/csv files/Gibbons Colin_Centre 2016.csv",51025
"/media/rsamuel/Storage/geoData/Rasters/yieldData/csv files/Gibbons Colin_Centre 2017.csv",53433
"/media/rsamuel/Storage/geoData/Rasters/yieldData/csv files/Gibbons Colin_Centre 2018.csv",114256
"/media/rsamuel/Storage/geoData/Rasters/yieldData/csv files/Gibbons Colin_East 2015.csv",23406
"/media/rsamuel/Storage/geoData/Rasters/yieldData/csv files/Gibbons Colin_East 2016.csv",29478
"/media/rsamuel/Storage/geoData/Rasters/yieldData/csv files/Gibbons Colin_East 2017.csv",34589
"/media/rsamuel/Storage/geoData/Rasters/yieldData/csv files/Gibbons Colin_East 2018.csv",72260
"/media/rsamuel/Storage/geoData/Rasters/yieldData/csv files/Gibbons Colin_West 2014.csv",19236
"/media/rsamuel/Storage/geoData/Rasters/yieldData/csv files/Gibbons Colin_West 2015.csv",22863
"/media/rsamuel/Storage/geoData/Rasters/yieldData/csv files/Gibbons Colin_West 2016.csv",31247
"/media/rsamuel/Storage/geoData/Rasters/yieldData/csv files/Gibbons Colin_West 2017.csv",24502
"/media/rsamuel/Storage/geoData/Rasters/yieldData/csv files/Gibbons Colin_West 2018.csv",69195
"/media/rsamuel/Storage/geoData/Rasters/yieldData/csv files/Gibbons Drabble 2014.csv",34754
"/media/rsamuel/Storage/geoData/Rasters/yieldData/csv files/Gibbons Drabble 2015.csv",35290
"/media/rsamuel/Storage/geoData/Rasters/yieldData/csv files/Gibbons Drabble 2016.csv",37103
"/media/rsamuel/Storage/geoData/Rasters/yieldData/csv files/Gibbons Drabble 2017.csv",49772
"/media/rsamuel/Storage/geoData/Rasters/yieldData/csv files/Gibbons Drabble 2018.csv",98846
"/media/rsamuel/Storage/geoData/Rasters/yieldData/csv files/Gibbons French 2014.csv",19134
"/media/rsamuel/Storage/geoData/Rasters/yieldData/csv files/Gibbons French 2015.csv",16809
"/media/rsamuel/Storage/geoData/Rasters/yieldData/csv files/Gibbons French 2017.csv",21496
"/media/rsamuel/Storage/geoData/Rasters/yieldData/csv files/Gibbons French 2018.csv",56584
"/media/rsamuel/Storage/geoData/Rasters/yieldData/csv files/Gibbons Guleta_Home 2015.csv",10835
"/media/rsamuel/Storage/geoData/Rasters/yieldData/csv files/Gibbons Guleta_Home 2016.csv",12960
"/media/rsamuel/Storage/geoData/Rasters/yieldData/csv files/Gibbons Guleta_Home 2017.csv",27560
"/media/rsamuel/Storage/geoData/Rasters/yieldData/csv files/Gibbons Guleta_Home 2018.csv",51475
"/media/rsamuel/Storage/geoData/Rasters/yieldData/csv files/Gibbons Guleta_Old_Man 2018.csv",32450
"/media/rsamuel/Storage/geoData/Rasters/yieldData/csv files/Gibbons Guleta_South 2014.csv",26901
"/media/rsamuel/Storage/geoData/Rasters/yieldData/csv files/Gibbons Guleta_South 2015.csv",29637
"/media/rsamuel/Storage/geoData/Rasters/yieldData/csv files/Gibbons Guleta_South 2017.csv",35313
"/media/rsamuel/Storage/geoData/Rasters/yieldData/csv files/Gibbons Guleta_South 2018.csv",81182
"/media/rsamuel/Storage/geoData/Rasters/yieldData/csv files/Gibbons Lafonda 2016.csv",22628
"/media/rsamuel/Storage/geoData/Rasters/yieldData/csv files/Gibbons Lafonda 2017.csv",51532
"/media/rsamuel/Storage/geoData/Rasters/yieldData/csv files/Gibbons Lafonda 2018.csv",95083
"/media/rsamuel/Storage/geoData/Rasters/yieldData/csv files/Gibbons Lamoureux_North 2014.csv",40841
"/media/rsamuel/Storage/geoData/Rasters/yieldData/csv files/Gibbons Lamoureux_North 2015.csv",36837
"/media/rsamuel/Storage/geoData/Rasters/yieldData/csv files/Gibbons Lamoureux_North 2016.csv",33882
"/media/rsamuel/Storage/geoData/Rasters/yieldData/csv files/Gibbons Lamoureux_North 2017.csv",39943
"/media/rsamuel/Storage/geoData/Rasters/yieldData/csv files/Gibbons Lamoureux_North 2018.csv",108860
"/media/rsamuel/Storage/geoData/Rasters/yieldData/csv files/Gibbons Marshalls 2014.csv",35237
"/media/rsamuel/Storage/geoData/Rasters/yieldData/csv files/Gibbons Marshalls 2015.csv",33109
"/media/rsamuel/Storage/geoData/Rasters/yieldData/csv files/Gibbons Marshalls 2016.csv",44169
"/media/rsamuel/Storage/geoData/Rasters/yieldData/csv files/Gibbons Marshalls 2017.csv",39983
"/media/rsamuel/Storage/geoData/Rasters/yieldData/csv files/Gibbons Marshalls 2018.csv",97341
"/media/rsamuel/Storage/geoData/Rasters/yieldData/csv files/Gibbons Mikaluks 2014.csv",37781
"/media/rsamuel/Storage/geoData/Rasters/yieldData/csv files/Gibbons Mikaluks 2015.csv",39297
"/media/rsamuel/Storage/geoData/Rasters/yieldData/csv files/Gibbons Mikaluks 2016.csv",31368
"/media/rsamuel/Storage/geoData/Rasters/yieldData/csv files/Gibbons Mikaluks 2017.csv",75570
"/media/rsamuel/Storage/geoData/Rasters/yieldData/csv files/Gibbons Mikaluks 2018.csv",117101
"/media/rsamuel/Storage/geoData/Rasters/yieldData/csv files/Gibbons Mikaluks 2019.csv",211719
"/media/rsamuel/Storage/geoData/Rasters/yieldData/csv files/Gibbons Mike_North_and_South 2014.csv",74665
"/media/rsamuel/Storage/geoData/Rasters/yieldData/csv files/Gibbons Mike_North_and_South 2015.csv",57833
"/media/rsamuel/Storage/geoData/Rasters/yieldData/csv files/Gibbons Mike_North_and_South 2016.csv",45255
"/media/rsamuel/Storage/geoData/Rasters/yieldData/csv files/Gibbons Mike_North_and_South 2017.csv",54893
"/media/rsamuel/Storage/geoData/Rasters/yieldData/csv files/Gibbons Mike_North_and_South 2018.csv",54655
"/media/rsamuel/Storage/geoData/Rasters/yieldData/csv files/Gibbons Mike_Visser 2014.csv",27777
"/media/rsamuel/Storage/geoData/Rasters/yieldData/csv files/Gibbons Mike_Visser 2015.csv",28895
"/media/rsamuel/Storage/geoData/Rasters/yieldData/csv files/Gibbons Mike_Visser 2016.csv",32814
"/media/rsamuel/Storage/geoData/Rasters/yieldData/csv files/Gibbons Mike_Visser 2017.csv",38376
"/media/rsamuel/Storage/geoData/Rasters/yieldData/csv files/Gibbons Mike_Visser 2018.csv",93290
"/media/rsamuel/Storage/geoData/Rasters/yieldData/csv files/Gibbons Miss_Tammy 2015.csv",33114
"/media/rsamuel/Storage/geoData/Rasters/yieldData/csv files/Gibbons Miss_Tammy 2016.csv",54858
"/media/rsamuel/Storage/geoData/Rasters/yieldData/csv files/Gibbons Miss_Tammy 2017.csv",49424
"/media/rsamuel/Storage/geoData/Rasters/yieldData/csv files/Gibbons Miss_Tammy 2018.csv",139612
"/media/rsamuel/Storage/geoData/Rasters/yieldData/csv files/Gibbons Nickel 2014.csv",42256
"/media/rsamuel/Storage/geoData/Rasters/yieldData/csv files/Gibbons Nickel 2015.csv",37688
"/media/rsamuel/Storage/geoData/Rasters/yieldData/csv files/Gibbons Nickel 2016.csv",26192
"/media/rsamuel/Storage/geoData/Rasters/yieldData/csv files/Gibbons Nickel 2017.csv",48915
"/media/rsamuel/Storage/geoData/Rasters/yieldData/csv files/Gibbons Nickel 2018.csv",100142
"/media/rsamuel/Storage/geoData/Rasters/yieldData/csv files/Gibbons Nickel 2019.csv",157431
"/media/rsamuel/Storage/geoData/Rasters/yieldData/csv files/Gibbons Norms 2014.csv",34250
"/media/rsamuel/Storage/geoData/Rasters/yieldData/csv files/Gibbons Norms 2015.csv",30031
"/media/rsamuel/Storage/geoData/Rasters/yieldData/csv files/Gibbons Norms 2017.csv",47893
"/media/rsamuel/Storage/geoData/Rasters/yieldData/csv files/Gibbons Norms 2018.csv",235259
"/media/rsamuel/Storage/geoData/Rasters/yieldData/csv files/Gibbons Onushko 2019.csv",41994
"/media/rsamuel/Storage/geoData/Rasters/yieldData/csv files/Gibbons Peter_Piche 2014.csv",49897
"/media/rsamuel/Storage/geoData/Rasters/yieldData/csv files/Gibbons Peter_Piche 2015.csv",39020
"/media/rsamuel/Storage/geoData/Rasters/yieldData/csv files/Gibbons Peter_Piche 2016.csv",23295
"/media/rsamuel/Storage/geoData/Rasters/yieldData/csv files/Gibbons Peter_Piche 2017.csv",71475
"/media/rsamuel/Storage/geoData/Rasters/yieldData/csv files/Gibbons Peter_Piche 2018.csv",116161
"/media/rsamuel/Storage/geoData/Rasters/yieldData/csv files/Gibbons Peter_Piche 2019.csv",209820
"/media/rsamuel/Storage/geoData/Rasters/yieldData/csv files/Gibbons Peterbridge_South 2014.csv",27959
"/media/rsamuel/Storage/geoData/Rasters/yieldData/csv files/Gibbons Peterbridge_South 2015.csv",26467
"/media/rsamuel/Storage/geoData/Rasters/yieldData/csv files/Gibbons Peth_N_and_Moermans 2014.csv",55357
"/media/rsamuel/Storage/geoData/Rasters/yieldData/csv files/Gibbons Peth_N_and_Moermans 2015.csv",57607
"/media/rsamuel/Storage/geoData/Rasters/yieldData/csv files/Gibbons Peth_N_and_Moermans 2016.csv",72780
"/media/rsamuel/Storage/geoData/Rasters/yieldData/csv files/Gibbons Peth_N_and_Moermans 2017.csv",94118
"/media/rsamuel/Storage/geoData/Rasters/yieldData/csv files/Gibbons Peth_N_and_Moermans 2018.csv",73290
"/media/rsamuel/Storage/geoData/Rasters/yieldData/csv files/Gibbons Pinasiuk 2014.csv",28723
"/media/rsamuel/Storage/geoData/Rasters/yieldData/csv files/Gibbons Pinasiuk 2015.csv",21000
"/media/rsamuel/Storage/geoData/Rasters/yieldData/csv files/Gibbons Pinasiuk 2016.csv",30248
"/media/rsamuel/Storage/geoData/Rasters/yieldData/csv files/Gibbons Pinasiuk 2017.csv",35228
"/media/rsamuel/Storage/geoData/Rasters/yieldData/csv files/Gibbons Pinasiuk 2018.csv",78621
"/media/rsamuel/Storage/geoData/Rasters/yieldData/csv files/Gibbons Rick_Badry_Flats 2015.csv",4442
"/media/rsamuel/Storage/geoData/Rasters/yieldData/csv files/Gibbons Romaniuk 2014.csv",26905
"/media/rsamuel/Storage/geoData/Rasters/yieldData/csv files/Gibbons Romaniuk 2015.csv",33354
"/media/rsamuel/Storage/geoData/Rasters/yieldData/csv files/Gibbons Romaniuk 2016.csv",39306
"/media/rsamuel/Storage/geoData/Rasters/yieldData/csv files/Gibbons Romaniuk 2017.csv",61124
"/media/rsamuel/Storage/geoData/Rasters/yieldData/csv files/Gibbons Romaniuk 2018.csv",193528
"/media/rsamuel/Storage/geoData/Rasters/yieldData/csv files/Gibbons Roshko_28 2014.csv",35246
"/media/rsamuel/Storage/geoData/Rasters/yieldData/csv files/Gibbons Roshko_28 2015.csv",32375
"/media/rsamuel/Storage/geoData/Rasters/yieldData/csv files/Gibbons Roshko_28 2016.csv",22542
"/media/rsamuel/Storage/geoData/Rasters/yieldData/csv files/Gibbons Roshko_28 2017.csv",34438
"/media/rsamuel/Storage/geoData/Rasters/yieldData/csv files/Gibbons Roshko_28 2018.csv",80160
"/media/rsamuel/Storage/geoData/Rasters/yieldData/csv files/Gibbons Roshko_Home 2014.csv",50975
"/media/rsamuel/Storage/geoData/Rasters/yieldData/csv files/Gibbons Roshko_Home 2015.csv",52646
"/media/rsamuel/Storage/geoData/Rasters/yieldData/csv files/Gibbons Roshko_Home 2016.csv",49719
"/media/rsamuel/Storage/geoData/Rasters/yieldData/csv files/Gibbons Roshko_Home 2017.csv",79231
"/media/rsamuel/Storage/geoData/Rasters/yieldData/csv files/Gibbons Roshko_Home 2018.csv",158762
"/media/rsamuel/Storage/geoData/Rasters/yieldData/csv files/Gibbons Roshko_Home 2019.csv",295034
"/media/rsamuel/Storage/geoData/Rasters/yieldData/csv files/Gibbons Roshko_Middle 2014.csv",36152
"/media/rsamuel/Storage/geoData/Rasters/yieldData/csv files/Gibbons Roshko_Middle 2015.csv",32852
"/media/rsamuel/Storage/geoData/Rasters/yieldData/csv files/Gibbons Roshko_Middle 2016.csv",42907
"/media/rsamuel/Storage/geoData/Rasters/yieldData/csv files/Gibbons Roshko_Middle 2017.csv",50510
"/media/rsamuel/Storage/geoData/Rasters/yieldData/csv files/Gibbons Roshko_Middle 2018.csv",92875
"/media/rsamuel/Storage/geoData/Rasters/yieldData/csv files/Gibbons Roshko_Middle 2019.csv",142220
"/media/rsamuel/Storage/geoData/Rasters/yieldData/csv files/Gibbons Roshko_West 2014.csv",34673
"/media/rsamuel/Storage/geoData/Rasters/yieldData/csv files/Gibbons Roshko_West 2015.csv",29990
"/media/rsamuel/Storage/geoData/Rasters/yieldData/csv files/Gibbons Roshko_West 2016.csv",27472
"/media/rsamuel/Storage/geoData/Rasters/yieldData/csv files/Gibbons Roshko_West 2017.csv",27004
"/media/rsamuel/Storage/geoData/Rasters/yieldData/csv files/Gibbons Roshko_West 2018.csv",115259
"/media/rsamuel/Storage/geoData/Rasters/yieldData/csv files/Gibbons Roshko_West 2019.csv",152781
"/media/rsamuel/Storage/geoData/Rasters/yieldData/csv files/Gibbons Schwing 2014.csv",21080
"/media/rsamuel/Storage/geoData/Rasters/yieldData/csv files/Gibbons Schwing 2015.csv",20618
"/media/rsamuel/Storage/geoData/Rasters/yieldData/csv files/Gibbons Schwing 2016.csv",18798
"/media/rsamuel/Storage/geoData/Rasters/yieldData/csv files/Gibbons Schwing 2017.csv",34154
"/media/rsamuel/Storage/geoData/Rasters/yieldData/csv files/Gibbons Schwing 2018.csv",84293
"/media/rsamuel/Storage/geoData/Rasters/yieldData/csv files/Gibbons Walter_Piche 2014.csv",28340
"/media/rsamuel/Storage/geoData/Rasters/yieldData/csv files/Gibbons Walter_Piche 2015.csv",32777
"/media/rsamuel/Storage/geoData/Rasters/yieldData/csv files/Gibbons Walter_Piche 2016.csv",23917
"/media/rsamuel/Storage/geoData/Rasters/yieldData/csv files/Gibbons Walter_Piche 2017.csv",29200
"/media/rsamuel/Storage/geoData/Rasters/yieldData/csv files/Gibbons Walter_Piche 2018.csv",54539
"/media/rsamuel/Storage/geoData/Rasters/yieldData/csv files/Gibbons Walter_Piche 2019.csv",73466
"/media/rsamuel/Storage/geoData/Rasters/yieldData/csv files/Gibbons Wilf 2014.csv",34087
"/media/rsamuel/Storage/geoData/Rasters/yieldData/csv files/Gibbons Wilf 2015.csv",27885
"/media/rsamuel/Storage/geoData/Rasters/yieldData/csv files/Gibbons Wilf 2016.csv",41259
"/media/rsamuel/Storage/geoData/Rasters/yieldData/csv files/Gibbons Wilf 2017.csv",70493
"/media/rsamuel/Storage/geoData/Rasters/yieldData/csv files/Gibbons Wilf 2018.csv",223251
"/media/rsamuel/Storage/geoData/Rasters/yieldData/csv files/Gibbons Wolansky_Flats 2014.csv",22809
"/media/rsamuel/Storage/geoData/Rasters/yieldData/csv files/Gibbons Wolansky_Flats 2015.csv",18534
"/media/rsamuel/Storage/geoData/Rasters/yieldData/csv files/Gibbons Wolansky_Flats 2016.csv",17477
"/media/rsamuel/Storage/geoData/Rasters/yieldData/csv files/Gibbons Wolansky_Flats 2017.csv",35773
"/media/rsamuel/Storage/geoData/Rasters/yieldData/csv files/Gibbons Wolansky_Flats 2018.csv",76756
"/media/rsamuel/Storage/geoData/Rasters/yieldData/csv files/Gibbons Wolansky_Middle 2014.csv",48078
"/media/rsamuel/Storage/geoData/Rasters/yieldData/csv files/Gibbons Wolansky_Middle 2015.csv",50060
"/media/rsamuel/Storage/geoData/Rasters/yieldData/csv files/Gibbons Wolansky_Middle 2016.csv",62406
"/media/rsamuel/Storage/geoData/Rasters/yieldData/csv files/Gibbons Wolansky_Middle 2017.csv",83395
"/media/rsamuel/Storage/geoData/Rasters/yieldData/csv files/Gibbons Wolansky_Middle 2018.csv",181643
"/media/rsamuel/Storage/geoData/Rasters/yieldData/csv files/Gibbons Wolansky_North 2014.csv",16942
"/media/rsamuel/Storage/geoData/Rasters/yieldData/csv files/Gibbons Wolansky_North 2015.csv",13608
"/media/rsamuel/Storage/geoData/Rasters/yieldData/csv files/Gibbons Wolansky_North 2016.csv",14837
"/media/rsamuel/Storage/geoData/Rasters/yieldData/csv files/Gibbons Yakimets 2014.csv",23994
"/media/rsamuel/Storage/geoData/Rasters/yieldData/csv files/Gibbons Yakimets 2015.csv",26187
"/media/rsamuel/Storage/geoData/Rasters/yieldData/csv files/Gibbons Yakimets 2016.csv",25775
"/media/rsamuel/Storage/geoData/Rasters/yieldData/csv files/Gibbons Yakimets 2017.csv",43629
"/media/rsamuel/Storage/geoData/Rasters/yieldData/csv files/Gibbons Yakimets 2018.csv",78834
"/media/rsamuel/Storage/geoData/Rasters/yieldData/csv files/Gibbons Yakimets 2019.csv",133159
"/media/rsamuel/Storage/geoData/Rasters/yieldData/csv files/Gibbons Yakimets_South 2014.csv",9688
"/media/rsamuel/Storage/geoData/Rasters/yieldData/csv files/Gibbons Yakimets_South 2015.csv",10888
"/media/rsamuel/Storage/geoData/Rasters/yieldData/csv files/Gibbons Yakimets_South 2016.csv",35549
"/media/rsamuel/Storage/geoData/Rasters/yieldData/csv files/Gibbons Yakimets_South 2017.csv",69836
"/media/rsamuel/Storage/geoData/Rasters/yieldData/csv files/Gibbons Yakimets_South 2018.csv",113277
"/media/rsamuel/Storage/geoData/Rasters/yieldData/csv files/Gibbons Yakimets_South 2019.csv",160297
"/media/rsamuel/Storage/geoData/Rasters/yieldData/csv files/Lakeland lc1_3 2017.csv",37678
"/media/rsamuel/Storage/geoData/Rasters/yieldData/csv files/Lakeland lc10 2017.csv",18783
"/media/rsamuel/Storage/geoData/Rasters/yieldData/csv files/Lakeland lc11 2017.csv",9039
"/media/rsamuel/Storage/geoData/Rasters/yieldData/csv files/Lakeland lc14 2017.csv",40132
"/media/rsamuel/Storage/geoData/Rasters/yieldData/csv files/Lakeland lc17 2017.csv",48725
"/media/rsamuel/Storage/geoData/Rasters/yieldData/csv files/Lakeland lc18 2017.csv",25991
"/media/rsamuel/Storage/geoData/Rasters/yieldData/csv files/Lakeland lc20 2017.csv",34037
"/media/rsamuel/Storage/geoData/Rasters/yieldData/csv files/Lakeland lc4_5 2017.csv",23394
"/media/rsamuel/Storage/geoData/Rasters/yieldData/csv files/Trent_Clark Dads 2014.csv",25288
"/media/rsamuel/Storage/geoData/Rasters/yieldData/csv files/Trent_Clark Dads 2018.csv",40919
"/media/rsamuel/Storage/geoData/Rasters/yieldData/csv files/Trent_Clark Dads 2019.csv",10344
"/media/rsamuel/Storage/geoData/Rasters/yieldData/csv files/Trent_Clark E_06 2014.csv",77442
"/media/rsamuel/Storage/geoData/Rasters/yieldData/csv files/Trent_Clark E_06 2018.csv",51031
"/media/rsamuel/Storage/geoData/Rasters/yieldData/csv files/Trent_Clark E_06 2019.csv",20587
"/media/rsamuel/Storage/geoData/Rasters/yieldData/csv files/Trent_Clark FINLEY 2014.csv",31710
"/media/rsamuel/Storage/geoData/Rasters/yieldData/csv files/Trent_Clark FINLEY 2018.csv",23547
"/media/rsamuel/Storage/geoData/Rasters/yieldData/csv files/Trent_Clark FINLEY 2019.csv",7363
